model,observable,jewel,val,delta,delta_over_truth
OT-CFM coarse_thr0.5,ptd,0.45002439618110657,0.4098382294178009,0.040186166763305664,0.8152857923682288
OT-CFM coarse_thr0.5,rg,0.2412115829875548,0.25950116390137445,-0.01828958091381966,0.6832908332155099
OT-CFM coarse_thr0.5,zg,0.227127672035356,0.23704370619255719,-0.009916034157201187,1.0398880554747758
OT-CFM coarse_thr0.5,zlead,0.3552524745464325,0.30657491087913513,0.04867756366729736,0.861226540795144
OT-CFM converged,core,0.42496582865715027,0.414259135723114,0.010706692934036255,0.5662039933743209
OT-CFM converged,et,17.374013900756836,17.923053741455078,-0.5490398406982422,0.3361959421264827
OT-CFM converged,girth,0.18805229663848877,0.19087421894073486,-0.0028219223022460938,0.55645796358764
OT-CFM converged,mass,2.860821008682251,3.1228013038635254,-0.2619802951812744,0.3807092089480566
OT-CFM converged,n1,3.464569330215454,3.852416515350342,-0.3878471851348877,0.3856718007416852
OT-CFM converged,ptd,0.38649412989616394,0.34833529591560364,0.0381588339805603,0.7741558278232185
OT-CFM converged,rg,0.23211529225262093,0.2495566364307195,-0.01744134417809856,0.6516010756072899
OT-CFM converged,zg,0.21285724675629605,0.2274417952827811,-0.014584548526485053,1.5294721222970007
OT-CFM converged,zlead,0.312448650598526,0.26765406131744385,0.04479458928108215,0.7925271165287047
OT-CFM seeded10_zero,core,0.3886926770210266,0.37899482250213623,0.00969785451889038,0.5128534076384434
OT-CFM seeded10_zero,et,24.714702606201172,25.229793548583984,-0.5150909423828125,0.3154078662761092
OT-CFM seeded10_zero,girth,0.19893988966941833,0.2013627141714096,-0.002422824501991272,0.47775942924977377
OT-CFM seeded10_zero,mass,4.7596540451049805,5.019855499267578,-0.26020145416259766,0.3781242009550082
OT-CFM seeded10_zero,n1,5.218303203582764,5.847875595092773,-0.6295723915100098,0.626041201888495
OT-CFM seeded10_zero,ptd,0.3553244471549988,0.32414230704307556,0.031182140111923218,0.6326145999100323
OT-CFM seeded10_zero,rg,0.3011527093679346,0.30721695006685035,-0.006064240698915757,0.22655740989945852
OT-CFM seeded10_zero,zg,0.19706364003031968,0.21135178560199733,-0.014288145571677652,1.4983885371232035
OT-CFM seeded10_zero,zlead,0.27785560488700867,0.2395510971546173,0.03830450773239136,0.6777015159735876
OT-CFM seeded10_zero_thr0.7,core,0.47554993629455566,0.4626515805721283,0.012898355722427368,0.68210609597148
OT-CFM seeded10_zero_thr0.7,et,17.561389923095703,17.853172302246094,-0.2917823791503906,0.1786683671800909
OT-CFM seeded10_zero_thr0.7,girth,0.1758093535900116,0.17912770807743073,-0.0033183544874191284,0.6543499723792621
OT-CFM seeded10_zero_thr0.7,mass,2.3276607990264893,2.595418691635132,-0.2677578926086426,0.38910520126752357
OT-CFM seeded10_zero_thr0.7,n1,5.218303203582764,5.847875595092773,-0.6295723915100098,0.626041201888495
OT-CFM seeded10_zero_thr0.7,ptd,0.4940534234046936,0.4508841931819916,0.043169230222702026,0.8758053554931049
OT-CFM seeded10_zero_thr0.7,rg,0.2217324066587314,0.24299308291333424,-0.021260676254602845,0.7942896702327373
OT-CFM seeded10_zero_thr0.7,zg,0.2392104916234167,0.24764951129737856,-0.00843901967396185,0.8849945068509627
OT-CFM seeded10_zero_thr0.7,zlead,0.3930823802947998,0.34050601720809937,0.05257636308670044,0.930205949053459
OT-CFM seeded8_zero_thr0.5,core,0.45197823643684387,0.4397653341293335,0.012212902307510376,0.6458571381290179
OT-CFM seeded8_zero_thr0.5,et,19.40593910217285,19.803739547729492,-0.3978004455566406,0.2435868686727119
OT-CFM seeded8_zero_thr0.5,girth,0.18199919164180756,0.18495941162109375,-0.002960219979286194,0.5837290346845947
OT-CFM seeded8_zero_thr0.5,mass,2.9265408515930176,3.1997077465057373,-0.2731668949127197,0.3969655519361055
OT-CFM seeded8_zero_thr0.5,n1,5.218303203582764,5.847875595092773,-0.6295723915100098,0.626041201888495
OT-CFM seeded8_zero_thr0.5,ptd,0.45002439618110657,0.4098382294178009,0.040186166763305664,0.8152857923682288
OT-CFM seeded8_zero_thr0.5,rg,0.2412115829875548,0.25950116390137445,-0.01828958091381966,0.6832908332155099
OT-CFM seeded8_zero_thr0.5,zg,0.227127672035356,0.23704370619255719,-0.009916034157201187,1.0398880554747758
OT-CFM seeded8_zero_thr0.5,zlead,0.3552524745464325,0.30657491087913513,0.04867756366729736,0.861226540795144
regress_l1,core,0.47701603174209595,0.46503832936286926,0.011977702379226685,0.6334190174641174
regress_l1,et,22.65863800048828,22.95914077758789,-0.3005027770996094,0.18400816620182853
regress_l1,girth,0.17367029190063477,0.17653778195381165,-0.00286749005317688,0.5654435185294014
regress_l1,mass,2.7092325687408447,3.0498955249786377,-0.34066295623779297,0.49505068500459765
regress_l1,n1,5.318716049194336,5.88258171081543,-0.5638656616210938,0.5607030124975048
regress_l1,ptd,0.4543991684913635,0.4163261651992798,0.03807300329208374,0.7724145186489375
regress_l1,rg,0.1929814794973972,0.21402535957720029,-0.021043880079803096,0.7861902589004129
